student,number,model,position,side,treatment,distance,seen
17649197,7,4,4,L,S,1,0
17649197,7,5,5,L,B,2,0
17649197,7,6,6,L,Y,4,1
17649197,7,7,7,L,S,2,0
17649197,7,8,8,L,B,5,0
17649197,7,9,9,L,S,3,0
17649197,7,10,10,L,B,3,0
17649197,7,11,11,L,Y,2,0
17649197,7,12,12,L,B,4,0
17649197,7,13,13,L,B,1,0
17649197,7,14,14,L,Y,3,0
17649197,7,15,15,L,Y,1,0
17649197,7,16,1,R,S,5,0
17649197,7,17,2,R,S,2,0
17649197,7,18,3,R,B,6,0
17649197,7,19,4,R,S,1,0
17649197,7,20,5,R,B,2,0
17649197,7,21,6,R,Y,2,0
17649197,7,22,7,R,B,4,0
17649197,7,23,8,R,Y,4,0
17649197,7,24,9,R,Y,5,0
17649197,7,25,10,R,S,4,0
17649197,7,26,11,R,Y,1,0
17649197,7,27,12,R,Y,3,1
17649197,7,28,13,R,B,5,0
17649197,7,29,14,R,S,3,0
17649197,7,30,15,R,B,1,0
18652752,8,1,1,L,S,4,0
18652752,8,2,2,L,Y,5,0
18652752,8,3,3,L,S,5,0
18652752,8,4,4,L,S,1,1
18652752,8,5,5,L,B,2,0
18652752,8,6,6,L,Y,4,0
18652752,8,7,7,L,S,2,0
18652752,8,8,8,L,B,5,0
18652752,8,9,9,L,S,3,0
18652752,8,10,10,L,B,3,0
18652752,8,11,11,L,Y,2,1
18652752,8,12,12,L,B,4,0
18652752,8,13,13,L,B,1,0
18652752,8,14,14,L,Y,3,0
18652752,8,15,15,L,Y,1,0
18652752,8,16,1,R,S,5,0
18652752,8,17,2,R,S,2,0
18652752,8,18,3,R,B,6,0
18652752,8,19,4,R,S,1,0
18652752,8,20,5,R,B,2,0
18652752,8,21,6,R,Y,2,0
18652752,8,22,7,R,B,4,0
18652752,8,23,8,R,Y,4,0
18652752,8,24,9,R,Y,5,0
18652752,8,25,10,R,S,4,0
18652752,8,26,11,R,Y,1,0
18652752,8,27,12,R,Y,3,1
18652752,8,28,13,R,B,5,0
18652752,8,29,14,R,S,3,0
18652752,8,30,15,R,B,1,0
18812871,9,1,1,L,S,4,0
18812871,9,2,2,L,Y,5,0
